Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.276,627.106,3.330,2113,12.753
RollerBallBrain,0.309,631.038,3.362,2069,12.856
RollerBallBrain,0.276,634.708,3.128,2063,13.058
RollerBallBrain,0.270,638.512,3.266,2057,13.241
RollerBallBrain,0.265,642.159,3.118,2108,13.363
RollerBallBrain,0.292,645.793,3.082,2096,13.607
RollerBallBrain,0.274,649.446,3.111,2051,13.789
RollerBallBrain,0.270,653.305,3.294,2095,14.088
RollerBallBrain,0.300,657.023,3.152,2090,14.065
RollerBallBrain,0.280,660.635,3.074,2059,14.227
RollerBallBrain,0.292,664.511,3.312,2104,14.832
RollerBallBrain,0.266,668.016,3.000,2050,14.829
RollerBallBrain,0.279,671.918,3.338,2103,15.169
RollerBallBrain,0.285,675.448,2.973,2053,15.301
RollerBallBrain,0.282,678.904,2.917,2060,15.554
RollerBallBrain,0.301,682.657,3.200,2050,15.531
RollerBallBrain,0.388,686.709,3.402,2053,15.498
RollerBallBrain,0.355,691.103,3.684,2050,16.883
RollerBallBrain,0.311,695.302,3.566,2079,16.872
RollerBallBrain,0.317,699.148,3.234,2062,17.289
RollerBallBrain,0.298,703.214,3.458,2064,17.599
RollerBallBrain,0.350,707.374,3.516,2104,17.672
RollerBallBrain,0.304,711.318,3.361,2075,18.285
RollerBallBrain,0.296,715.281,3.362,2081,18.454
RollerBallBrain,0.332,719.550,3.589,2054,18.574
RollerBallBrain,0.281,723.483,3.400,2053,18.674
RollerBallBrain,0.422,727.736,3.528,2059,18.659
RollerBallBrain,0.453,733.118,4.507,2091,18.910
RollerBallBrain,0.485,737.946,3.994,2063,18.937
RollerBallBrain,0.325,742.503,3.862,2083,18.999
RollerBallBrain,0.257,745.814,2.827,2068,19.982
RollerBallBrain,0.246,749.404,3.097,2101,20.152
RollerBallBrain,0.250,752.916,3.033,2080,20.152
RollerBallBrain,0.242,756.428,3.042,2061,20.482
RollerBallBrain,0.242,760.073,3.155,2058,20.466
