Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.318,353.547,1.738,1070,22.872
RollerBallBrain,0.256,355.472,1.557,1028,22.838
RollerBallBrain,0.246,357.555,1.722,1059,22.916
RollerBallBrain,0.258,359.633,1.703,1054,22.890
RollerBallBrain,0.250,361.737,1.729,1044,25.284
RollerBallBrain,0.246,363.774,1.687,1078,26.114
RollerBallBrain,0.247,365.891,1.740,1072,26.078
RollerBallBrain,0.240,368.051,1.806,1029,25.780
RollerBallBrain,0.245,370.001,1.593,1065,26.909
RollerBallBrain,0.244,372.109,1.755,1026,26.793
RollerBallBrain,0.242,374.029,1.575,1062,26.735
RollerBallBrain,0.248,376.076,1.679,1032,26.985
RollerBallBrain,0.241,377.947,1.526,1025,26.858
RollerBallBrain,0.244,380.202,1.884,1025,26.988
RollerBallBrain,0.244,382.099,1.542,1070,26.906
RollerBallBrain,0.263,384.108,1.630,1031,26.809
RollerBallBrain,0.243,386.125,1.662,1027,26.764
RollerBallBrain,0.265,388.289,1.771,1088,27.155
RollerBallBrain,0.249,390.329,1.681,1076,27.190
RollerBallBrain,0.253,392.405,1.706,1058,27.038
RollerBallBrain,0.248,394.579,1.803,1047,26.991
RollerBallBrain,0.250,396.493,1.560,1068,26.858
RollerBallBrain,0.248,398.591,1.737,1039,26.784
RollerBallBrain,0.249,400.710,1.750,1064,26.622
RollerBallBrain,0.261,402.750,1.668,1048,26.496
RollerBallBrain,0.252,404.889,1.783,1076,26.364
RollerBallBrain,0.287,407.020,1.722,1028,26.288
RollerBallBrain,0.243,409.204,1.824,1030,26.333
RollerBallBrain,0.279,411.365,1.765,1069,26.349
RollerBallBrain,0.248,413.418,1.710,1026,26.311
RollerBallBrain,0.244,415.401,1.626,1026,26.192
RollerBallBrain,0.298,417.422,1.610,1028,25.981
RollerBallBrain,0.261,419.629,1.823,1085,25.843
RollerBallBrain,0.249,421.723,1.734,1067,25.961
RollerBallBrain,0.245,423.790,1.713,1062,25.970
RollerBallBrain,0.244,425.835,1.692,1053,26.220
RollerBallBrain,0.247,427.934,1.743,1080,26.206
RollerBallBrain,0.251,429.866,1.583,1073,26.192
RollerBallBrain,0.246,431.922,1.694,1056,26.626
RollerBallBrain,0.244,434.046,1.758,1062,26.575
RollerBallBrain,0.244,435.913,1.530,1027,26.686
RollerBallBrain,0.249,437.913,1.657,1030,26.639
RollerBallBrain,0.258,440.074,1.791,1074,26.619
RollerBallBrain,0.255,442.165,1.722,1079,26.584
RollerBallBrain,0.250,444.227,1.703,1083,26.610
RollerBallBrain,0.256,446.322,1.726,1086,26.579
RollerBallBrain,0.269,448.377,1.682,1040,26.579
RollerBallBrain,0.250,450.466,1.751,1040,26.579
RollerBallBrain,0.249,452.389,1.563,1072,26.555
RollerBallBrain,0.244,454.501,1.744,1033,26.511
RollerBallBrain,0.258,456.578,1.702,1040,26.511
RollerBallBrain,0.251,458.448,1.546,1040,26.511
RollerBallBrain,0.259,460.480,1.697,1040,26.511
RollerBallBrain,0.260,462.393,1.571,1040,26.511
RollerBallBrain,0.254,464.454,1.732,1040,26.511
RollerBallBrain,0.248,466.435,1.626,1027,29.884
RollerBallBrain,0.253,468.503,1.707,1063,29.991
RollerBallBrain,0.256,470.467,1.609,1073,30.584
RollerBallBrain,0.250,472.538,1.699,1051,32.668
RollerBallBrain,0.243,474.471,1.579,1086,32.613
RollerBallBrain,0.259,476.660,1.813,1084,32.765
RollerBallBrain,0.249,478.769,1.745,1066,32.684
RollerBallBrain,0.247,480.679,1.549,1027,32.617
RollerBallBrain,0.249,482.734,1.699,1045,35.683
RollerBallBrain,0.254,484.781,1.686,1081,35.596
RollerBallBrain,0.261,486.960,1.630,1053,35.481
RollerBallBrain,0.266,489.049,1.693,1061,35.366
RollerBallBrain,0.259,491.289,1.841,1072,35.341
RollerBallBrain,0.254,493.310,1.654,1040,35.341
RollerBallBrain,0.255,495.315,1.638,1052,35.229
RollerBallBrain,0.245,497.359,1.718,1059,35.186
RollerBallBrain,0.244,499.274,1.565,1064,35.685
RollerBallBrain,0.244,501.346,1.716,1030,35.614
RollerBallBrain,0.264,503.353,1.625,1046,35.547
RollerBallBrain,0.269,505.559,1.804,1082,35.450
RollerBallBrain,0.281,507.740,1.777,1089,35.233
RollerBallBrain,0.248,509.716,1.611,1034,35.193
RollerBallBrain,0.252,511.650,1.570,1058,35.085
RollerBallBrain,0.239,513.683,1.673,1026,34.471
RollerBallBrain,0.256,515.790,1.727,1060,34.368
RollerBallBrain,0.249,517.700,1.560,1026,34.519
RollerBallBrain,0.271,519.948,1.843,1075,34.480
RollerBallBrain,0.249,521.854,1.550,1071,34.310
RollerBallBrain,0.263,524.055,1.816,1047,35.854
RollerBallBrain,0.255,525.929,1.515,1049,35.787
RollerBallBrain,0.252,528.009,1.712,1037,36.043
RollerBallBrain,0.244,530.026,1.669,1031,36.566
RollerBallBrain,0.245,532.126,1.725,1035,36.337
RollerBallBrain,0.248,534.210,1.723,1025,36.238
RollerBallBrain,0.244,536.111,1.558,1087,36.127
RollerBallBrain,0.243,538.101,1.634,1034,36.031
RollerBallBrain,0.246,540.088,1.627,1032,36.794
RollerBallBrain,0.242,542.176,1.740,1059,36.506
RollerBallBrain,0.247,544.125,1.605,1053,36.313
RollerBallBrain,0.311,546.387,1.829,1028,36.130
RollerBallBrain,0.247,548.276,1.539,1036,35.988
RollerBallBrain,0.252,550.268,1.633,1027,35.858
RollerBallBrain,0.245,552.213,1.594,1059,35.778
RollerBallBrain,0.251,554.447,1.844,1028,35.933
RollerBallBrain,0.246,556.343,1.545,1073,35.968
RollerBallBrain,0.247,558.354,1.652,1082,35.778
