Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.152,320.720,1.516,1042,-5.381
RollerBallBrain,0.145,322.580,1.579,1041,-5.370
RollerBallBrain,0.145,324.438,1.571,1036,-5.359
RollerBallBrain,0.145,326.261,1.561,1029,-5.347
RollerBallBrain,0.148,328.155,1.613,1051,-5.336
RollerBallBrain,0.146,330.024,1.577,1032,-5.325
RollerBallBrain,0.141,331.827,1.546,1027,-5.313
RollerBallBrain,0.146,333.658,1.552,1025,-5.304
RollerBallBrain,0.147,335.503,1.555,1035,-5.295
RollerBallBrain,0.147,337.340,1.551,1045,-5.285
RollerBallBrain,0.145,339.212,1.583,1035,-5.275
RollerBallBrain,0.146,341.086,1.605,1049,-5.264
RollerBallBrain,0.147,342.942,1.579,1033,-5.254
RollerBallBrain,0.146,344.734,1.523,1026,-5.244
RollerBallBrain,0.143,346.592,1.574,1031,-5.235
RollerBallBrain,0.150,348.438,1.564,1036,-5.227
RollerBallBrain,0.149,350.261,1.546,1026,-5.218
RollerBallBrain,0.150,352.129,1.569,1037,-5.208
RollerBallBrain,0.146,353.998,1.582,1030,-5.199
RollerBallBrain,0.151,355.844,1.567,1034,-5.189
RollerBallBrain,0.145,357.663,1.539,1034,-5.181
RollerBallBrain,0.145,359.509,1.558,1036,-5.172
RollerBallBrain,0.145,361.348,1.563,1028,-5.161
RollerBallBrain,0.147,363.184,1.560,1036,-5.152
RollerBallBrain,0.146,365.039,1.564,1032,-5.143
RollerBallBrain,0.147,366.895,1.590,1031,-5.134
RollerBallBrain,0.145,368.723,1.547,1026,-5.124
RollerBallBrain,0.143,370.538,1.548,1031,-5.114
RollerBallBrain,0.148,372.382,1.561,1025,-5.105
RollerBallBrain,0.146,374.213,1.552,1034,-5.096
RollerBallBrain,0.146,376.061,1.575,1031,-5.087
RollerBallBrain,0.144,377.918,1.573,1034,-5.078
RollerBallBrain,0.144,379.763,1.565,1027,-5.070
RollerBallBrain,0.143,381.601,1.559,1036,-5.062
RollerBallBrain,0.150,383.453,1.582,1027,-5.054
RollerBallBrain,0.154,385.302,1.562,1031,-5.046
RollerBallBrain,0.151,387.306,1.699,1030,-5.039
RollerBallBrain,0.152,389.297,1.701,1043,-5.030
RollerBallBrain,0.155,391.199,1.616,1040,-5.021
RollerBallBrain,0.148,393.122,1.654,1035,-5.012
RollerBallBrain,0.141,394.960,1.559,1033,-5.003
RollerBallBrain,0.143,396.790,1.546,1025,-4.995
RollerBallBrain,0.146,398.677,1.605,1046,-4.987
RollerBallBrain,0.144,400.527,1.568,1031,-4.979
RollerBallBrain,0.143,402.349,1.552,1028,-4.970
RollerBallBrain,0.146,404.200,1.570,1037,-4.962
RollerBallBrain,0.144,406.045,1.569,1033,-4.954
RollerBallBrain,0.147,407.865,1.538,1026,-4.945
RollerBallBrain,0.152,409.701,1.561,1032,-4.937
RollerBallBrain,0.143,411.538,1.560,1028,-4.930
RollerBallBrain,0.146,413.434,1.601,1029,-4.922
RollerBallBrain,0.152,415.292,1.571,1033,-4.915
RollerBallBrain,0.143,417.112,1.546,1031,-4.907
RollerBallBrain,0.152,418.998,1.606,1033,-4.900
RollerBallBrain,0.149,420.829,1.551,1035,-4.893
RollerBallBrain,0.152,422.729,1.600,1048,-4.886
RollerBallBrain,0.147,424.603,1.603,1032,-4.878
RollerBallBrain,0.152,426.440,1.549,1027,-4.871
RollerBallBrain,0.152,428.282,1.555,1034,-4.864
RollerBallBrain,0.143,430.121,1.563,1036,-4.857
RollerBallBrain,0.140,431.908,1.512,1026,-4.851
RollerBallBrain,0.148,433.782,1.604,1033,-4.844
RollerBallBrain,0.143,435.648,1.590,1046,-4.837
RollerBallBrain,0.141,437.546,1.629,1030,-4.831
RollerBallBrain,0.152,439.536,1.570,1028,-4.825
RollerBallBrain,0.144,441.394,1.579,1028,-4.818
RollerBallBrain,0.155,443.249,1.564,1042,-4.811
RollerBallBrain,0.149,445.112,1.588,1033,-4.804
RollerBallBrain,0.145,446.950,1.565,1033,-4.799
RollerBallBrain,0.146,448.810,1.580,1035,-4.793
RollerBallBrain,0.153,450.685,1.593,1057,-4.786
RollerBallBrain,0.143,452.574,1.604,1034,-4.780
RollerBallBrain,0.143,454.419,1.576,1033,-4.773
RollerBallBrain,0.149,456.232,1.534,1033,-4.767
RollerBallBrain,0.148,458.107,1.589,1025,-4.763
RollerBallBrain,0.148,459.940,1.557,1032,-4.757
RollerBallBrain,0.150,461.785,1.562,1035,-4.751
RollerBallBrain,0.147,463.624,1.566,1036,-4.745
RollerBallBrain,0.145,465.459,1.549,1035,-4.739
RollerBallBrain,0.143,467.308,1.572,1035,-4.734
RollerBallBrain,0.147,469.150,1.567,1028,-4.728
RollerBallBrain,0.147,471.017,1.585,1025,-4.723
RollerBallBrain,0.145,472.861,1.560,1025,-4.716
RollerBallBrain,0.147,474.725,1.599,1034,-4.711
RollerBallBrain,0.144,476.526,1.526,1031,-4.705
RollerBallBrain,0.146,478.380,1.587,1030,-4.699
RollerBallBrain,0.146,480.220,1.565,1034,-4.693
RollerBallBrain,0.145,482.070,1.580,1026,-4.688
RollerBallBrain,0.153,483.918,1.556,1031,-4.682
RollerBallBrain,0.144,485.757,1.566,1034,-4.677
RollerBallBrain,0.146,487.576,1.542,1029,-4.671
RollerBallBrain,0.147,489.441,1.586,1029,-4.666
RollerBallBrain,0.147,491.292,1.580,1027,-4.660
RollerBallBrain,0.144,493.114,1.549,1025,-4.655
RollerBallBrain,0.155,494.946,1.548,1028,-4.649
RollerBallBrain,0.145,496.791,1.566,1037,-4.644
RollerBallBrain,0.141,498.622,1.551,1030,-4.639
RollerBallBrain,0.148,500.449,1.548,1029,-4.634
RollerBallBrain,0.151,502.332,1.603,1033,-4.628
RollerBallBrain,0.145,504.191,1.578,1028,-4.623
RollerBallBrain,0.150,506.070,1.583,1038,-4.617
RollerBallBrain,0.156,507.867,1.514,1025,-4.613
RollerBallBrain,0.147,509.701,1.559,1030,-4.607
RollerBallBrain,0.142,511.531,1.563,1026,-4.603
RollerBallBrain,0.146,513.440,1.612,1036,-4.598
RollerBallBrain,0.149,515.333,1.615,1032,-4.593
RollerBallBrain,0.153,517.321,1.690,1030,-4.588
RollerBallBrain,0.151,519.238,1.630,1034,-4.582
RollerBallBrain,0.146,521.064,1.553,1045,-4.578
RollerBallBrain,0.149,522.937,1.593,1035,-4.573
RollerBallBrain,0.186,524.798,1.554,1030,-4.568
RollerBallBrain,0.146,526.651,1.585,1030,-4.563
RollerBallBrain,0.142,528.476,1.551,1030,-4.558
RollerBallBrain,0.145,530.334,1.590,1032,-4.553
RollerBallBrain,0.146,532.165,1.552,1027,-4.548
RollerBallBrain,0.150,534.012,1.567,1040,-4.543
RollerBallBrain,0.155,535.895,1.595,1026,-4.538
RollerBallBrain,0.146,537.758,1.579,1025,-4.534
RollerBallBrain,0.148,539.574,1.543,1025,-4.529
RollerBallBrain,0.147,541.412,1.549,1030,-4.523
RollerBallBrain,0.146,543.269,1.582,1042,-4.518
RollerBallBrain,0.149,545.143,1.597,1035,-4.514
RollerBallBrain,0.152,546.965,1.538,1027,-4.509
RollerBallBrain,0.145,548.825,1.587,1025,-4.504
RollerBallBrain,0.148,550.646,1.539,1030,-4.499
RollerBallBrain,0.143,552.484,1.568,1027,-4.495
RollerBallBrain,0.148,554.347,1.569,1027,-4.490
RollerBallBrain,0.150,556.234,1.600,1036,-4.485
RollerBallBrain,0.146,558.106,1.591,1042,-4.480
RollerBallBrain,0.148,559.955,1.566,1034,-4.475
RollerBallBrain,0.148,561.815,1.574,1033,-4.470
RollerBallBrain,0.149,563.673,1.580,1055,-4.465
RollerBallBrain,0.144,565.503,1.553,1035,-4.460
RollerBallBrain,0.156,567.361,1.572,1032,-4.455
RollerBallBrain,0.157,569.243,1.598,1030,-4.450
RollerBallBrain,0.145,571.087,1.579,1034,-4.446
RollerBallBrain,0.144,572.938,1.573,1037,-4.441
RollerBallBrain,0.155,574.797,1.574,1028,-4.436
RollerBallBrain,0.159,576.659,1.578,1032,-4.431
RollerBallBrain,0.154,578.528,1.584,1032,-4.426
RollerBallBrain,0.150,580.381,1.562,1033,-4.421
RollerBallBrain,0.147,582.223,1.566,1036,-4.416
RollerBallBrain,0.150,584.056,1.553,1034,-4.411
RollerBallBrain,0.145,585.880,1.559,1029,-4.406
RollerBallBrain,0.155,587.724,1.560,1034,-4.402
RollerBallBrain,0.147,589.591,1.583,1030,-4.397
RollerBallBrain,0.147,591.429,1.567,1035,-4.392
RollerBallBrain,0.145,593.307,1.619,1032,-4.388
RollerBallBrain,0.153,595.244,1.636,1030,-4.383
RollerBallBrain,0.148,597.127,1.585,1035,-4.378
RollerBallBrain,0.146,598.970,1.560,1026,-4.374
RollerBallBrain,0.144,600.795,1.540,1036,-4.370
RollerBallBrain,0.158,602.806,1.702,1036,-4.365
RollerBallBrain,0.162,604.731,1.620,1038,-4.361
RollerBallBrain,0.145,606.866,1.846,1031,-4.357
RollerBallBrain,0.147,608.663,1.524,1027,-4.353
RollerBallBrain,0.149,610.521,1.576,1035,-4.349
RollerBallBrain,0.148,612.373,1.574,1033,-4.344
RollerBallBrain,0.151,614.249,1.574,1033,-4.340
RollerBallBrain,0.147,616.080,1.537,1035,-4.336
RollerBallBrain,0.147,617.942,1.584,1037,-4.333
RollerBallBrain,0.155,619.827,1.588,1042,-4.328
RollerBallBrain,0.144,621.675,1.577,1033,-4.324
RollerBallBrain,0.151,623.530,1.573,1034,-4.320
